完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险制度与原理的单项选择题，请直接给出正确答案的选项。
题目：下列内容不属于保险经营的基本原则的是____。
选项：
A：经济核算原则
B：随行就市原则
C：薄利多销原则
D：盈利性原则
从ABCD中选出唯一正确的答案。",下列内容不属于保险经营的基本原则的是____。,经济核算原则,随行就市原则,薄利多销原则,盈利性原则,,D
"以下是关于保险制度与原理的单项选择题，请直接给出正确答案的选项。
题目：财产保险的基本职能是(  )。
选项：
A：A.资金运用
B：B.损失补偿
C：C.防灾防损
D：D.社会管理
从ABCD中选出唯一正确的答案。",财产保险的基本职能是(  )。,A.资金运用,B.损失补偿,C.防灾防损,D.社会管理,,B
"以下是关于保险制度与原理的多项选择题，请直接给出正确答案的选项。
题目：责任保险的险别（种）有（   ）
选项：
A：A.公众责任保险
B：B.产品责任保险
C：C.雇主责任保险
D：D.职业责任保险
请注意，正确选项一定不止一个，最终结果只输出选项，选项之间用英文逗号分割。",责任保险的险别（种）有（   ）,A.公众责任保险,B.产品责任保险,C.雇主责任保险,D.职业责任保险,,"A,B,C,D"
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：财产保险综合险主要承保由于火灾、爆炸、雷击、飞行物体及其他空中运行物体坠落造成的被保险财产损失这四类风险。
你的输出只能是""对""或者""错""。",财产保险综合险主要承保由于火灾、爆炸、雷击、飞行物体及其他空中运行物体坠落造成的被保险财产损失这四类风险。,对,错,,,,错
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：相较于其他财产保险, 工程保险对于保险的承保技术、承保手段和承保能力要求低。(  )
你的输出只能是""对""或者""错""。","相较于其他财产保险, 工程保险对于保险的承保技术、承保手段和承保能力要求低。(  )",对,错,,,,错
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：与一般财产与人身保险相同，责任保险人的补偿对象也是被保险人或其受益人，其赔款或保险金完全归被保险人或其受益人所有。（   ）
你的输出只能是""对""或者""错""。",与一般财产与人身保险相同，责任保险人的补偿对象也是被保险人或其受益人，其赔款或保险金完全归被保险人或其受益人所有。（   ）,对,错,,,,错
"以下是关于保险制度与原理的单项选择题，请直接给出正确答案的选项。
题目：导致人身发生伤害和损失的是（）。
选项：
A：A.信用风险
B：B.财产风险
C：C.技术风险
D：D.人身风险
从ABCD中选出唯一正确的答案。",导致人身发生伤害和损失的是（）。,A.信用风险,B.财产风险,C.技术风险,D.人身风险,,D
"以下是关于保险制度与原理的多项选择题，请直接给出正确答案的选项。
题目：风险的特征有（）。
选项：
A：A.客观性
B：B.偶然性
C：C.普遍性
D：D.社会性
请注意，正确选项一定不止一个，最终结果只输出选项，选项之间用英文逗号分割。",风险的特征有（）。,A.客观性,B.偶然性,C.普遍性,D.社会性,,"A,B,C,D"
"以下是关于保险制度与原理的多项选择题，请直接给出正确答案的选项。
题目：风险的社会性是指（）。
选项：
A：A.造成人的损失
B：B.不确定性的
C：C.有计划的
D：D.造成人类的损失
请注意，正确选项一定不止一个，最终结果只输出选项，选项之间用英文逗号分割。",风险的社会性是指（）。,A.造成人的损失,B.不确定性的,C.有计划的,D.造成人类的损失,,"A,D"
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：风险的社会性是指：只有给人和人类社会导致了损失的可能性才称之为风险。
你的输出只能是""对""或者""错""。",风险的社会性是指：只有给人和人类社会导致了损失的可能性才称之为风险。,对,错,,,,对
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：风险的普遍性是指整个社会里面风险是无处不在的。
你的输出只能是""对""或者""错""。",风险的普遍性是指整个社会里面风险是无处不在的。,对,错,,,,对
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：损失是非故意的，非预期的和非计划的经济价值的减少。
你的输出只能是""对""或者""错""。",损失是非故意的，非预期的和非计划的经济价值的减少。,对,错,,,,对
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：风雨雷电所发生的损失是社会风险。
你的输出只能是""对""或者""错""。",风雨雷电所发生的损失是社会风险。,对,错,,,,错
"你是一名保险制度与原理领域的专家，你可以判断给定的内容是对还是错。
内容是：可保风险的特点是有大量的同质风险存在。
你的输出只能是""对""或者""错""。",可保风险的特点是有大量的同质风险存在。,对,错,,,,对
