完整问题,题干,A,B,C,D,E,正确答案
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：气滞血瘀型痛经首选（ ）
以下哪个选项可以是该问题最恰当的回答？
A.胶艾四物汤
B.血府逐瘀汤
C.金匮温经汤
D.少腹逐瘀汤
E.膈下逐瘀汤
你的输出只能是A、B、C、D、E五个字母中的一个",气滞血瘀型痛经首选（ ）,胶艾四物汤,血府逐瘀汤,金匮温经汤,少腹逐瘀汤,膈下逐瘀汤,E
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：可阻断β受体，用于治疗房性及室性心律失常的药品是
以下哪个选项可以是该问题最恰当的回答？
A.氯沙坦
B.美托洛尔
C.氨氯地平
D.硝酸甘油
E.利多卡因
你的输出只能是A、B、C、D、E五个字母中的一个",可阻断β受体，用于治疗房性及室性心律失常的药品是,氯沙坦,美托洛尔,氨氯地平,硝酸甘油,利多卡因,B
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：具有心脏毒性的抗肿瘤药是
以下哪个选项可以是该问题最恰当的回答？
A.长春新碱
B.博来霉素
C.柔红霉素
D.环磷酰胺
E.紫杉醇
你的输出只能是A、B、C、D、E五个字母中的一个",具有心脏毒性的抗肿瘤药是,长春新碱,博来霉素,柔红霉素,环磷酰胺,紫杉醇,C
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：关于患者投诉的处理，正确的是（　　）。
以下哪个选项可以是该问题最恰当的回答？
A.接待患者投诉时，接待者的举止行为要点第一是尊重、第二是微笑
B.接待患者时，应该自己先坐下，患者后坐下
C.如果投诉即时发生，则应争取在现场应对投诉，解决全部问题
D.接待患者的地点宜选择在门诊大厅、医院药房等场所
E.一般性的投诉，可由当事人接待患者
你的输出只能是A、B、C、D、E五个字母中的一个",关于患者投诉的处理，正确的是（　　）。,接待患者投诉时，接待者的举止行为要点第一是尊重、第二是微笑,接待患者时，应该自己先坐下，患者后坐下,如果投诉即时发生，则应争取在现场应对投诉，解决全部问题,接待患者的地点宜选择在门诊大厅、医院药房等场所,一般性的投诉，可由当事人接待患者,A
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：患者，男，65岁，有胃溃疡病史，近两个月来出现手足多个小关节肿痛，成对称性，经医生检查诊断为类风湿性关节炎，建议使用的非甾体抗炎药为（　　）。
以下哪个选项可以是该问题最恰当的回答？
A.双氯芬酸
B.布洛芬
C.吲哚美辛
D.尼美舒利
E.萘丁美酮
你的输出只能是A、B、C、D、E五个字母中的一个",患者，男，65岁，有胃溃疡病史，近两个月来出现手足多个小关节肿痛，成对称性，经医生检查诊断为类风湿性关节炎，建议使用的非甾体抗炎药为（　　）。,双氯芬酸,布洛芬,吲哚美辛,尼美舒利,萘丁美酮,D
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：“虚则补之”属于（　　）。
以下哪个选项可以是该问题最恰当的回答？
A.反治
B.因人制宜
C.正治
D.因时制宜
E.因地制宜
你的输出只能是A、B、C、D、E五个字母中的一个",“虚则补之”属于（　　）。,反治,因人制宜,正治,因时制宜,因地制宜,C
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：患者，男，28岁，2天前因淋雨后出现发热，体温最高达39℃，经实验室和胸片检查，临床诊断为社区获得性肺炎，无其他基础疾病。可首选的抗菌药物是
以下哪个选项可以是该问题最恰当的回答？
A.甲硝唑
B.头孢哌酮舒巴坦
C.阿米卡星
D.亚胺培南西司他丁
E.头孢拉定
你的输出只能是A、B、C、D、E五个字母中的一个",患者，男，28岁，2天前因淋雨后出现发热，体温最高达39℃，经实验室和胸片检查，临床诊断为社区获得性肺炎，无其他基础疾病。可首选的抗菌药物是,甲硝唑,头孢哌酮舒巴坦,阿米卡星,亚胺培南西司他丁,头孢拉定,E
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：与二、三级信息源相比，一级信息源的特点是（　　）。
以下哪个选项可以是该问题最恰当的回答？
A.对一个具体的问题提供的信息全面详实
B.有的还提供疾病与药物治疗的基础知识
C.读者可以自己对文献进行评价，免受他人观点的影响
D.内容广泛，使用方便
E.读者利用索引或文摘服务可以很方便地对想要的一级文献的信息、数据和文章进行筛选
你的输出只能是A、B、C、D、E五个字母中的一个",与二、三级信息源相比，一级信息源的特点是（　　）。,对一个具体的问题提供的信息全面详实,有的还提供疾病与药物治疗的基础知识,读者可以自己对文献进行评价，免受他人观点的影响,内容广泛，使用方便,读者利用索引或文摘服务可以很方便地对想要的一级文献的信息、数据和文章进行筛选,C
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：胺类化合物N-脱烷基化的基团不包括（　　）。
以下哪个选项可以是该问题最恰当的回答？
A.异丙基
B.氨基
C.乙基
D.甲基
E.苄基
你的输出只能是A、B、C、D、E五个字母中的一个",胺类化合物N-脱烷基化的基团不包括（　　）。,异丙基,氨基,乙基,甲基,苄基,B
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：患者，男，47岁，2型糖尿病史，饮食不规律，近期因口服降糖药疗效不佳，欲改为三餐前即刻使用胰岛素或胰岛素类似物控制血糖，应选用的药物是（ ）
以下哪个选项可以是该问题最恰当的回答？
A.普通胰岛素
B.门冬胰岛素
C.精蛋白锌胰岛素
D.低精蛋白锌胰岛素
E.地特胰岛素
你的输出只能是A、B、C、D、E五个字母中的一个",患者，男，47岁，2型糖尿病史，饮食不规律，近期因口服降糖药疗效不佳，欲改为三餐前即刻使用胰岛素或胰岛素类似物控制血糖，应选用的药物是（ ）,普通胰岛素,门冬胰岛素,精蛋白锌胰岛素,低精蛋白锌胰岛素,地特胰岛素,B
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：有关带状疱疹的治疗，叙述错误的是（ ）
以下哪个选项可以是该问题最恰当的回答？
A.卡马西平可使抗凝药的抗凝效应减弱
B.局部治疗以干燥和消炎为主
C.疱疹破溃时可用3%硼酸溶液湿敷
D.尽早应用抗病毒治疗，首选α-干扰素
E.严重后遗神经痛患者可予以卡马西平
你的输出只能是A、B、C、D、E五个字母中的一个",有关带状疱疹的治疗，叙述错误的是（ ）,卡马西平可使抗凝药的抗凝效应减弱,局部治疗以干燥和消炎为主,疱疹破溃时可用3%硼酸溶液湿敷,尽早应用抗病毒治疗，首选α-干扰素,严重后遗神经痛患者可予以卡马西平,D
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：小便余沥不尽多属（）
以下哪个选项可以是该问题最恰当的回答？
A.肾气不固
B.湿热蕴结
C.阳虚水泛
D.肾阴亏损
E.膀胱虚衰
你的输出只能是A、B、C、D、E五个字母中的一个",小便余沥不尽多属（）,肾气不固,湿热蕴结,阳虚水泛,肾阴亏损,膀胱虚衰,A
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：属于润滑性泻药的是（）
以下哪个选项可以是该问题最恰当的回答？
A.酚酞
B.硫酸镁
C.聚乙二醇4000
D.乳果糖
E.甘油（开塞露）
你的输出只能是A、B、C、D、E五个字母中的一个",属于润滑性泻药的是（）,酚酞,硫酸镁,聚乙二醇4000,乳果糖,甘油（开塞露）,E
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：长期服用磺胺类抗菌药，应加服（　　）。
以下哪个选项可以是该问题最恰当的回答？
A.阿司匹林
B.维生素C
C.氢氯噻嗪
D.丙磺舒
E.碳酸氢钠
你的输出只能是A、B、C、D、E五个字母中的一个",长期服用磺胺类抗菌药，应加服（　　）。,阿司匹林,维生素C,氢氯噻嗪,丙磺舒,碳酸氢钠,E
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：关于平脉象特点的叙述，错误的是（ ）
以下哪个选项可以是该问题最恰当的回答？
A.脉象从容有节，不快不慢
B.一息脉来四至，和缓有力
C.可从尺部斜向手背
D.可显现于寸口的背侧
E.夏季脉稍洪，冬季脉稍弱
你的输出只能是A、B、C、D、E五个字母中的一个",关于平脉象特点的叙述，错误的是（ ）,脉象从容有节，不快不慢,一息脉来四至，和缓有力,可从尺部斜向手背,可显现于寸口的背侧,夏季脉稍洪，冬季脉稍弱,E
"你是一名专业的药师执业人员，你可以从选项中选出给定的执业药师资格考试问题中选出最恰当的回答
执业药师资格考试问题是：患者男,65岁,身高170cm,体重60kg,经血糖检测、糖耐量试验和肾功能检测(肌酐清除率45ml/min),诊断为2型糖尿病、肾功能不全,该患者应首选的药物是
以下哪个选项可以是该问题最恰当的回答？
A.格列齐特
B.格列吡嗪
C.格列美脲
D.格列本脲
E.格列喹酮
你的输出只能是A、B、C、D、E五个字母中的一个","患者男,65岁,身高170cm,体重60kg,经血糖检测、糖耐量试验和肾功能检测(肌酐清除率45ml/min),诊断为2型糖尿病、肾功能不全,该患者应首选的药物是",格列齐特,格列吡嗪,格列美脲,格列本脲,格列喹酮,E
