完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险产品的单项选择题，请直接给出正确答案的选项。
题目：以存放在固定场所并处于相对静止状态的财产及其有关利益为保险标的，由保险人承担被保险财产遭受保险事故损失的经济赔偿责任的一种财产损失保险，一般称为（  ）。
选项：
A：A.火灾保险
B：B.责任保险
C：C.意外保险
D：D.利润保险
从ABCD中选出唯一正确的答案。",以存放在固定场所并处于相对静止状态的财产及其有关利益为保险标的，由保险人承担被保险财产遭受保险事故损失的经济赔偿责任的一种财产损失保险，一般称为（  ）。,A.火灾保险,B.责任保险,C.意外保险,D.利润保险,,A
"以下是关于保险产品的单项选择题，请直接给出正确答案的选项。
题目：公众责任保险是以被保险人的公众责任为承保对象的保险，是责任保险中独立的、适用范围最为广泛的保险类别，下列保险不属于公众责任保险的是（  ）
选项：
A：A.承运人责任保险
B：B.环境责任保险
C：C.物业责任保险
D：D.雇主责任保险
从ABCD中选出唯一正确的答案。",公众责任保险是以被保险人的公众责任为承保对象的保险，是责任保险中独立的、适用范围最为广泛的保险类别，下列保险不属于公众责任保险的是（  ）,A.承运人责任保险,B.环境责任保险,C.物业责任保险,D.雇主责任保险,,D
"以下是关于保险产品的多项选择题，请直接给出正确答案的选项。
题目：根据保险公司承保的风险范围大小不同，财产保险有（   ）之分
选项：
A：A.一切险
B：B.综合险
C：C.基本险
D：D.一揽子保险
请注意，正确选项一定不止一个，最终结果只输出选项，选项之间用英文逗号分割。",根据保险公司承保的风险范围大小不同，财产保险有（   ）之分,A.一切险,B.综合险,C.基本险,D.一揽子保险,,"A,B,C"
"以下是关于保险产品的多项选择题，请直接给出正确答案的选项。
题目：海洋货物运输保险一般包括（  ）
选项：
A：A.平安险
B：B.水渍险
C：C.一切险
D：D.提货不着险
请注意，正确选项一定不止一个，最终结果只输出选项，选项之间用英文逗号分割。",海洋货物运输保险一般包括（  ）,A.平安险,B.水渍险,C.一切险,D.提货不着险,,"A,B,C"
"以下是关于保险产品的单项选择题，请直接给出正确答案的选项。
题目：被保险人在保险期限内被确诊患有保单规定的重大疾病或者因疾病身故时由保险人一次性给付保险金的保险，被称为：
选项：
A：住院保险
B：手术保险
C：综合医疗保险
D：重大疾病保险
从ABCD中选出唯一正确的答案。",被保险人在保险期限内被确诊患有保单规定的重大疾病或者因疾病身故时由保险人一次性给付保险金的保险，被称为：,住院保险,手术保险,综合医疗保险,重大疾病保险,,D
"以下是关于保险产品的单项选择题，请直接给出正确答案的选项。
题目：以保险合同约定的疾病或者意外伤害导致工作能力丧失为给付保险金条件，为被保险人在一定时期内收入减少或者中断提供保障的保险，被称为：
选项：
A：意外伤害保险
B：特种疾病保险
C：失能收入损失保险
D：长期护理保险
从ABCD中选出唯一正确的答案。",以保险合同约定的疾病或者意外伤害导致工作能力丧失为给付保险金条件，为被保险人在一定时期内收入减少或者中断提供保障的保险，被称为：,意外伤害保险,特种疾病保险,失能收入损失保险,长期护理保险,,C
"你是一名保险产品领域的专家，你可以判断给定的内容是对还是错。
内容是：终身寿险的保险金额通常保持不变，除非保单载有特约条款允许在一定情况下进行调整，但此种情况在实务中非常少见。
你的输出只能是""对""或者""错""。",终身寿险的保险金额通常保持不变，除非保单载有特约条款允许在一定情况下进行调整，但此种情况在实务中非常少见。,对,错,,,,对
"你是一名保险产品领域的专家，你可以判断给定的内容是对还是错。
内容是：终身寿险具有储蓄性，保单经过一定年限就具有了现金价值，受益人对保单现金价值具有处置权。
你的输出只能是""对""或者""错""。",终身寿险具有储蓄性，保单经过一定年限就具有了现金价值，受益人对保单现金价值具有处置权。,对,错,,,,错
"你是一名保险产品领域的专家，你可以判断给定的内容是对还是错。
内容是：养老年金属于定期生存年金。
你的输出只能是""对""或者""错""。",养老年金属于定期生存年金。,对,错,,,,错
"你是一名保险产品领域的专家，你可以判断给定的内容是对还是错。
内容是：重大疾病保险的保险费可以按年、半年、季、月分期交付，也可以一次交清，大部分重疾险采用年缴自然保费的方式。
你的输出只能是""对""或者""错""。",重大疾病保险的保险费可以按年、半年、季、月分期交付，也可以一次交清，大部分重疾险采用年缴自然保费的方式。,对,错,,,,错
