完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险精算的单项选择题，请直接给出正确答案的选项。
题目：给定下面的逐年进展因子：$f_{0-1}=1.41$, $f_{1-2}=1.22$, $f_{2-3}=1.16$, $f_{3-4}=1.08$, $f_{4,\infty}=1.04$，在评估日2021年12月31日，2020事故年的已赚保费为100000元，期望赔付率为0.6，用B-F法计算2020事故年的未决赔款准备金为____。
选项：
A：小于23000
B：大于等于23000，小于28000
C：大于等于28000，小于32000
D：大于等于32000，小于34000
从ABCD中选出唯一正确的答案。","给定下面的逐年进展因子：$f_{0-1}=1.41$, $f_{1-2}=1.22$, $f_{2-3}=1.16$, $f_{3-4}=1.08$, $f_{4,\infty}=1.04$，在评估日2021年12月31日，2020事故年的已赚保费为100000元，期望赔付率为0.6，用B-F法计算2020事故年的未决赔款准备金为____。",小于23000,大于等于23000，小于28000,大于等于28000，小于32000,大于等于32000，小于34000,,A
"你是一名保险精算领域的专家，你可以判断给定的内容是对还是错。
内容是：保险公司经营时，其实际费用率大于预定附加费用率，即保险公司在费用上是盈利的，这被称为费差益。
你的输出只能是""对""或者""错""。",保险公司经营时，其实际费用率大于预定附加费用率，即保险公司在费用上是盈利的，这被称为费差益。,对,错,,,,错
"你是一名保险精算领域的专家，你可以判断给定的内容是对还是错。
内容是：在中国，生命表中规定的最高年龄为100岁。
你的输出只能是""对""或者""错""。",在中国，生命表中规定的最高年龄为100岁。,对,错,,,,错
"你是一名保险精算领域的专家，你可以判断给定的内容是对还是错。
内容是：保险费率由毛费率和附加费率两部分组成。
你的输出只能是""对""或者""错""。",保险费率由毛费率和附加费率两部分组成。,对,错,,,,错
"你是一名保险精算领域的专家，你可以判断给定的内容是对还是错。
内容是：保险费率又称保险价格，是保险费与保险价值的比率。
你的输出只能是""对""或者""错""。",保险费率又称保险价格，是保险费与保险价值的比率。,对,错,,,,错
"你是一名保险精算领域的专家，你可以判断给定的内容是对还是错。
内容是：人寿保险纯费率的计算依据是生命表和利率。
你的输出只能是""对""或者""错""。",人寿保险纯费率的计算依据是生命表和利率。,对,错,,,,对
"你是一名保险精算领域的专家，你可以判断给定的内容是对还是错。
内容是：现金价值基本上由自然保费制下投保人早期超缴的保费、保费累计所生的利息、生存者利益三项来源构成。
你的输出只能是""对""或者""错""。",现金价值基本上由自然保费制下投保人早期超缴的保费、保费累计所生的利息、生存者利益三项来源构成。,对,错,,,,错
"你是一名保险精算领域的专家，你可以判断给定的内容是对还是错。
内容是：医疗保险中，投保人每年要交的保费都会随着年龄的增长而增长，此保费被称为自然保费。
你的输出只能是""对""或者""错""。",医疗保险中，投保人每年要交的保费都会随着年龄的增长而增长，此保费被称为自然保费。,对,错,,,,对
"以下是关于保险精算的单项选择题，请直接给出正确答案的选项。
题目：一个保险公司预测金融危机对金融业产生的影响将会减少，因此，它以每份40元的价格购买了一百万份WA银行的看涨期权。到期时，WA银行的股价上升至50元。如果不考虑期权购买的成本，那么，下列哪一项是该保险公司通过这次看涨期权交易可能获得的收益？
选项：
A：4000万元
B：3000万元
C：1000万元
D：2000万元
从ABCD中选出唯一正确的答案。",一个保险公司预测金融危机对金融业产生的影响将会减少，因此，它以每份40元的价格购买了一百万份WA银行的看涨期权。到期时，WA银行的股价上升至50元。如果不考虑期权购买的成本，那么，下列哪一项是该保险公司通过这次看涨期权交易可能获得的收益？,4000万元,3000万元,1000万元,2000万元,,C
"以下是关于保险精算的单项选择题，请直接给出正确答案的选项。
题目：请指出以下各项关于损失程度估计的陈述中，哪一项是不正确的？
选项：
A：在估算损失程度时，必须将涉及的风险单位数考虑在内，如果涉及的风险单位数越多，损失程度就越大
B：在计算损失程度时，必须考虑时间因素，不仅数额大小重要，损失的时间价值也必须被考虑进去
C：在估算损失程度时，我们仅需考虑由风险事故导致的直接损失，因为间接损失是无法估计的
D：损失程度的衡量是依据发生某一类风险事故的平均损失额
从ABCD中选出唯一正确的答案。",请指出以下各项关于损失程度估计的陈述中，哪一项是不正确的？,在估算损失程度时，必须将涉及的风险单位数考虑在内，如果涉及的风险单位数越多，损失程度就越大,在计算损失程度时，必须考虑时间因素，不仅数额大小重要，损失的时间价值也必须被考虑进去,在估算损失程度时，我们仅需考虑由风险事故导致的直接损失，因为间接损失是无法估计的,损失程度的衡量是依据发生某一类风险事故的平均损失额,,C
