完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：某宾馆大堂一幅装饰画意外跌落，把一位当时正在大堂等人的女士砸伤。之后，该宾馆承担了由此引起的经济损失2万元的赔偿。该宾馆承担的这种责任被称作(  )。
选项：
A：A.职业责任
B：B.公众责任
C：C.雇主责任
D：D.产品责任
从ABCD中选出唯一正确的答案。",某宾馆大堂一幅装饰画意外跌落，把一位当时正在大堂等人的女士砸伤。之后，该宾馆承担了由此引起的经济损失2万元的赔偿。该宾馆承担的这种责任被称作(  )。,A.职业责任,B.公众责任,C.雇主责任,D.产品责任,,B
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：投保人向保险人申请订立保险合同的书面要约形式是：
选项：
A：投保单
B：保险单
C：批单
D：保险凭证
从ABCD中选出唯一正确的答案。",投保人向保险人申请订立保险合同的书面要约形式是：,投保单,保险单,批单,保险凭证,,A
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：在配置保险过程中，保险公司选择（        ）。
选项：
A：A.受益人
B：B.保险经纪人
C：C.客户
D：D.保险代理人
从ABCD中选出唯一正确的答案。",在配置保险过程中，保险公司选择（        ）。,A.受益人,B.保险经纪人,C.客户,D.保险代理人,,C
"你是一名保险从业资格考试领域的专家，你可以判断给定的内容是对还是错。
内容是：在投保申请的时候，健康问卷的内容主要是大家平时非常关心的投保前如实告知情况。
你的输出只能是""对""或者""错""。",在投保申请的时候，健康问卷的内容主要是大家平时非常关心的投保前如实告知情况。,对,错,,,,对
"你是一名保险从业资格考试领域的专家，你可以判断给定的内容是对还是错。
内容是：延期承保是指暂时不符合投保条件，需要经过一段时间的观察和诊疗过后再提供最新的审核资料再次申请投保，保险公司无条件承保。
你的输出只能是""对""或者""错""。",延期承保是指暂时不符合投保条件，需要经过一段时间的观察和诊疗过后再提供最新的审核资料再次申请投保，保险公司无条件承保。,对,错,,,,错
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：根据保险公司的委托，向保险公司收取佣金，在保险公司授权的范围内专门代为办理保险业务的机构，被称为：
选项：
A：保险兼业机构
B：保险代理机构
C：保险经纪机构
D：保险公估机构
从ABCD中选出唯一正确的答案。",根据保险公司的委托，向保险公司收取佣金，在保险公司授权的范围内专门代为办理保险业务的机构，被称为：,保险兼业机构,保险代理机构,保险经纪机构,保险公估机构,,B
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：在寿险公司中，培训评估被视为训练工作的关键环节。依照柯氏评估模式，下面哪些选项包含在内？ (1) 反映评估；(2) 学习评估；(3) 行为评估；(4) 结果评估。
选项：
A：(1)(2)(4)
B：(1)(3)(4)
C：(2)(3)(4)
D：(1)(2)(3)(4)
从ABCD中选出唯一正确的答案。",在寿险公司中，培训评估被视为训练工作的关键环节。依照柯氏评估模式，下面哪些选项包含在内？ (1) 反映评估；(2) 学习评估；(3) 行为评估；(4) 结果评估。,(1)(2)(4),(1)(3)(4),(2)(3)(4),(1)(2)(3)(4),,D
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：关于代理人根据其代理职权范围的划分，下列哪个选项是正确的？
选项：
A：独立代理人和专用代理人
B：特别代理和劳合社代理
C：专业代理人和兼业代理人
D：总代理和营业代理
从ABCD中选出唯一正确的答案。",关于代理人根据其代理职权范围的划分，下列哪个选项是正确的？,独立代理人和专用代理人,特别代理和劳合社代理,专业代理人和兼业代理人,总代理和营业代理,,A
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：在一个生命保险公司挑选新员工的过程中，它使用了一种人格测试。这种测试需要应聘者诚实地完成一个包括真假题和选择题的问卷调查。请问这种人格测试方法是以下哪一种？
选项：
A：自陈量表法
B：评价量表法
C：李克特量表法
D：投射法
从ABCD中选出唯一正确的答案。",在一个生命保险公司挑选新员工的过程中，它使用了一种人格测试。这种测试需要应聘者诚实地完成一个包括真假题和选择题的问卷调查。请问这种人格测试方法是以下哪一种？,自陈量表法,评价量表法,李克特量表法,投射法,,A
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：请看下述关于访谈法在职位分析方法应用时的不正确描述（）。
选项：
A：访谈法在确定任职资格条件和绩效考核标准的职位分析中，被广泛运用
B：访谈法可以看作是一种简单且快速的信息收集方法
C：访谈法的一个缺点是收集的信息可能已经被误读或扭曲
D：通过面对面访谈任职者，我们能够获取其他职位分析方法不能接触到的工作活动和关键元素
从ABCD中选出唯一正确的答案。",请看下述关于访谈法在职位分析方法应用时的不正确描述（）。,访谈法在确定任职资格条件和绩效考核标准的职位分析中，被广泛运用,访谈法可以看作是一种简单且快速的信息收集方法,访谈法的一个缺点是收集的信息可能已经被误读或扭曲,通过面对面访谈任职者，我们能够获取其他职位分析方法不能接触到的工作活动和关键元素,,A
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：根据《办法》，如果一个人为他人提供假报名材料，代替参加资格考试，或者协助或组织他人在资格考试中作弊，中国保监会将对其进行警告，同时，他们将被处以多少金额以下的罚款？
选项：
A：3万元
B：1万元
C：5000元
D：2万元
从ABCD中选出唯一正确的答案。",根据《办法》，如果一个人为他人提供假报名材料，代替参加资格考试，或者协助或组织他人在资格考试中作弊，中国保监会将对其进行警告，同时，他们将被处以多少金额以下的罚款？,3万元,1万元,5000元,2万元,,B
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：为设立一家营销服务部门，至少需要具备合适的固定场所、足够的人员和适当的办公设备。对于负责主管的要求是（），并要有相应的组织管理能力。
选项：
A：积累三年以上保险工作经验的大学本科毕业生
B：积累五年以上保险工作经验的大学本科毕业生
C：持有至少三年保险工作经历的人员
D：积累五年以上保险工作经验的大专毕业生
从ABCD中选出唯一正确的答案。",为设立一家营销服务部门，至少需要具备合适的固定场所、足够的人员和适当的办公设备。对于负责主管的要求是（），并要有相应的组织管理能力。,积累三年以上保险工作经验的大学本科毕业生,积累五年以上保险工作经验的大学本科毕业生,持有至少三年保险工作经历的人员,积累五年以上保险工作经验的大专毕业生,,C
"以下是关于保险从业资格考试的单项选择题，请直接给出正确答案的选项。
题目：在西方国家，竞争被视为职业道德的最基本原则之一。据西方保险业的观点，以下哪些描述能准确表达竞争的含义呢？① 竞争是最道德的行为；② 竞争可以使自己成长；③ 竞争意味着在对手成功时送去真诚祝贺；④ 竞争是为了打倒对方
选项：
A：②③④
B：①②③
C：①②③④
D：①③④
从ABCD中选出唯一正确的答案。",在西方国家，竞争被视为职业道德的最基本原则之一。据西方保险业的观点，以下哪些描述能准确表达竞争的含义呢？① 竞争是最道德的行为；② 竞争可以使自己成长；③ 竞争意味着在对手成功时送去真诚祝贺；④ 竞争是为了打倒对方,②③④,①②③,①②③④,①③④,,B
