完整问题,题干,A,B,C,D,E,正确答案
"你是一名保险疾病手术标化领域的专家，你可以判断给定的内容是对还是错。
内容是：医疗卫生服务主要包括门诊、住院所需要的检查、治疗、给药、手术等服务项目，有些国家还包括就医所需要的路费。
你的输出只能是""对""或者""错""。",医疗卫生服务主要包括门诊、住院所需要的检查、治疗、给药、手术等服务项目，有些国家还包括就医所需要的路费。,对,错,,,,对
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【病房类型】；该属性的类型是【ENUM】；该属性的取值范围是【普通病房、特需病房、ICU病房、未知】；
选项：
A：ICU病房
B：未知
C：普通病房
D：特需病房
从ABCD中选出唯一正确的答案。",需要提取的属性是【病房类型】；该属性的类型是【ENUM】；该属性的取值范围是【普通病房、特需病房、ICU病房、未知】；,ICU病房,未知,普通病房,特需病房,,C
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【就诊类型】；该属性的定义是【保险条款中约定的在某一种情况下进行的治疗或住院】；该属性的类型是【ENUM】；该属性的取值范围是【门诊手术、特殊门诊、住院、住院前后门诊、门诊、门诊或住院、未知】；
选项：
A：门诊
B：住院前后门诊
C：门诊或住院
D：门诊手术
从ABCD中选出唯一正确的答案。",需要提取的属性是【就诊类型】；该属性的定义是【保险条款中约定的在某一种情况下进行的治疗或住院】；该属性的类型是【ENUM】；该属性的取值范围是【门诊手术、特殊门诊、住院、住院前后门诊、门诊、门诊或住院、未知】；,门诊,住院前后门诊,门诊或住院,门诊手术,,D
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【就诊类型】；该属性的定义是【保险条款中约定的在某一种情况下进行的治疗或住院】；该属性的类型是【ENUM】；该属性的取值范围是【门诊手术、特殊门诊、住院、住院前后门诊、门诊、门诊或住院、未知】；
选项：
A：门诊手术
B：门诊或住院
C：住院
D：门诊
从ABCD中选出唯一正确的答案。",需要提取的属性是【就诊类型】；该属性的定义是【保险条款中约定的在某一种情况下进行的治疗或住院】；该属性的类型是【ENUM】；该属性的取值范围是【门诊手术、特殊门诊、住院、住院前后门诊、门诊、门诊或住院、未知】；,门诊手术,门诊或住院,住院,门诊,,C
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【就诊类型】；该属性的定义是【保险条款中约定的在某一种情况下进行的治疗或住院】；该属性的类型是【ENUM】；该属性的取值范围是【门诊手术、特殊门诊、住院、住院前后门诊、门诊、门诊或住院、未知】；
选项：
A：门诊或住院
B：门诊手术
C：门诊
D：住院
从ABCD中选出唯一正确的答案。",需要提取的属性是【就诊类型】；该属性的定义是【保险条款中约定的在某一种情况下进行的治疗或住院】；该属性的类型是【ENUM】；该属性的取值范围是【门诊手术、特殊门诊、住院、住院前后门诊、门诊、门诊或住院、未知】；,门诊或住院,门诊手术,门诊,住院,,D
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：面部整形手术可以在任何时间点进行吗？
选项：
A：面部整形手术必须在意外伤害后的180天内实施。
B：面部整形手术可以在意外伤害后的365天内实施。
C：面部整形手术必须在意外伤害后的90天内实施。
D：面部整形手术可以在任何时间点进行。
从ABCD中选出唯一正确的答案。",面部整形手术可以在任何时间点进行吗？,面部整形手术必须在意外伤害后的180天内实施。,面部整形手术可以在意外伤害后的365天内实施。,面部整形手术必须在意外伤害后的90天内实施。,面部整形手术可以在任何时间点进行。,,A
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：什么是严重大动脉炎？
选项：
A：严重大动脉炎的诊断不需要满足红细胞沉降率及C反应蛋白高于正常值这个条件。
B：严重大动脉炎的狭窄可以通过其他非侵入性检查方式，如心电图等进行诊断。
C：严重大动脉炎是由一般医疗机构的心脏或血管外科专科医生确诊的。
D：严重大动脉炎是由经本公司认可的医疗机构的心脏或血管外科专科医生确诊的，满足红细胞沉降率及C反应蛋白高于正常值，并通过超声检查、CTA检查或血管造影检查证实主动脉及其主要分支存在狭窄，并已经进行了手术治疗的病情。
从ABCD中选出唯一正确的答案。",什么是严重大动脉炎？,严重大动脉炎的诊断不需要满足红细胞沉降率及C反应蛋白高于正常值这个条件。,严重大动脉炎的狭窄可以通过其他非侵入性检查方式，如心电图等进行诊断。,严重大动脉炎是由一般医疗机构的心脏或血管外科专科医生确诊的。,严重大动脉炎是由经本公司认可的医疗机构的心脏或血管外科专科医生确诊的，满足红细胞沉降率及C反应蛋白高于正常值，并通过超声检查、CTA检查或血管造影检查证实主动脉及其主要分支存在狭窄，并已经进行了手术治疗的病情。,,D
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：肝叶切除术的主要适应病症是什么？
选项：
A：肺炎、胃溃疡、高血压等疾病
B：膀胱炎、食道癌、关节炎等疾病。佐证内容 根据保险条款中的描述，肝叶切除术是为治疗肝脏肿瘤、肝内胆管结石、肝脓肿、肝包虫病等疾病而实施的手术。因此，正确答案为肝脏肿瘤、肝内胆管结石、肝脓肿、肝包虫病等疾病。
C：胆囊炎、甲亢、鼻窦炎等疾病
D：肝脏肿瘤、肝内胆管结石、肝脓肿、肝包虫病等疾病
从ABCD中选出唯一正确的答案。",肝叶切除术的主要适应病症是什么？,肺炎、胃溃疡、高血压等疾病,膀胱炎、食道癌、关节炎等疾病。佐证内容 根据保险条款中的描述，肝叶切除术是为治疗肝脏肿瘤、肝内胆管结石、肝脓肿、肝包虫病等疾病而实施的手术。因此，正确答案为肝脏肿瘤、肝内胆管结石、肝脓肿、肝包虫病等疾病。,胆囊炎、甲亢、鼻窦炎等疾病,肝脏肿瘤、肝内胆管结石、肝脓肿、肝包虫病等疾病,,D
"以下是关于保险疾病手术标化的单项选择题，请直接给出正确答案的选项。
题目：CS精准医
选项：
A：CS精准医指的是将游戏《反恐精英》中的技巧应用到医疗行业，通过击杀敌人来治疗疾病。
B：CS精准医是指中证精准医疗主题指数，该指数选取了代表精准医疗产业公司的沪深A股作为样本股，反映这些公司的整体表现。它是根据2018年9月30日的IOSCO金融基准原则鉴证报告范围纳入的。
C：CS精准医是一种新型的货币体系，其中CS代表着“Cash System”，可以用于进行医疗行业的交易和支付。
D：CS精准医是指一个虚构的金融产品，将CS（Country of Service）与精准医学领域结合，为军人提供专属的医疗保健服务。
从ABCD中选出唯一正确的答案。",CS精准医,CS精准医指的是将游戏《反恐精英》中的技巧应用到医疗行业，通过击杀敌人来治疗疾病。,CS精准医是指中证精准医疗主题指数，该指数选取了代表精准医疗产业公司的沪深A股作为样本股，反映这些公司的整体表现。它是根据2018年9月30日的IOSCO金融基准原则鉴证报告范围纳入的。,CS精准医是一种新型的货币体系，其中CS代表着“Cash System”，可以用于进行医疗行业的交易和支付。,CS精准医是指一个虚构的金融产品，将CS（Country of Service）与精准医学领域结合，为军人提供专属的医疗保健服务。,,B
"你是一位医学专家，给定一个常用的手术术语，你可以从选项中选出一个最接近于该手术术语的标准手术术语，你只能输出一个字符，并且这个字符是A、B、C、D中的一个。
常用的手术术语是：
【肾周粘连松解术】
选项是：
A.脊髓粘连松解术
B.眼睑粘连松解术
C.睑球粘连松解术
D.肾周围粘连松解术
答：",肾周粘连松解术,脊髓粘连松解术,眼睑粘连松解术,睑球粘连松解术,肾周围粘连松解术,,D
"你是一位医学专家，给定一个常用的手术术语，你可以从选项中选出一个最接近于该手术术语的标准手术术语，你只能输出一个字符，并且这个字符是A、B、C、D中的一个。
常用的手术术语是：
【右侧股骨骨折闭合复位外固定架固定术】
选项是：
A.股骨骨折闭合复位术
B.股骨骨折闭合复位螺钉内固定术
C.股骨骨折闭合复位髓内针内固定术
D.腓骨骨折闭合复位钢板内固定术
答：",右侧股骨骨折闭合复位外固定架固定术,股骨骨折闭合复位术,股骨骨折闭合复位螺钉内固定术,股骨骨折闭合复位髓内针内固定术,腓骨骨折闭合复位钢板内固定术,,A
"你是一位医学专家，给定一个常用的手术术语，你可以从选项中选出一个最接近于该手术术语的标准手术术语，你只能输出一个字符，并且这个字符是A、B、C、D中的一个。
常用的手术术语是：
【右腋窝前哨淋巴结活检术】
选项是：
A.淋巴结活检
B.浅表淋巴结超声检查
C.腹腔镜下淋巴结活检术
D.超声内镜下腹腔淋巴结细针穿刺活检(FNA)
答：",右腋窝前哨淋巴结活检术,淋巴结活检,浅表淋巴结超声检查,腹腔镜下淋巴结活检术,超声内镜下腹腔淋巴结细针穿刺活检(FNA),,A
"你是一位医学专家，给定一个常用的手术术语，你可以从选项中选出一个最接近于该手术术语的标准手术术语，你只能输出一个字符，并且这个字符是A、B、C、D中的一个。
常用的手术术语是：
【下肢自体肌腱移植术】
选项是：
A.甲状腺自体移植术
B.手部带腱帽异体肌腱移植术
C.颊腺自体移植术
D.肌腱移植术
答：",下肢自体肌腱移植术,甲状腺自体移植术,手部带腱帽异体肌腱移植术,颊腺自体移植术,肌腱移植术,,D
"你是一位医学专家，给定一个常用的手术术语，你可以从选项中选出一个最接近于该手术术语的标准手术术语，你只能输出一个字符，并且这个字符是A、B、C、D中的一个。
常用的手术术语是：
【内镜下筛窦病损切除术】
选项是：
A.神经内镜下蛛网膜病损切除术
B.鼻内窥镜下筛窦病损切除术
C.鼻内窥镜下鼻内病损切除术
D.内镜下结肠病损切除术
答：",内镜下筛窦病损切除术,神经内镜下蛛网膜病损切除术,鼻内窥镜下筛窦病损切除术,鼻内窥镜下鼻内病损切除术,内镜下结肠病损切除术,,B
"你是一位医学专家，给定一个常用的手术术语，你可以从选项中选出一个最接近于该手术术语的标准手术术语，你只能输出一个字符，并且这个字符是A、B、C、D中的一个。
常用的手术术语是：
【供区带蒂复合组织瓣修复植皮术】
选项是：
A.带蒂皮瓣移植术
B.带蒂皮瓣断蒂术
C.供体肾修整术
D.胰腺组织再植入术
答：",供区带蒂复合组织瓣修复植皮术,带蒂皮瓣移植术,带蒂皮瓣断蒂术,供体肾修整术,胰腺组织再植入术,,A
