完整问题,题干,A,B,C,D,E,正确答案
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：张先生辞去月薪2000元的工作，取出自有存款200000元(月息1$\%$)，办一家独资企业，如果不考虑商业风险，则张先生自办企业按月计算的机会成本是____元。
选项：
A：2000
B：4000
C：6000
D：200000
从ABCD中选出唯一正确的答案。",张先生辞去月薪2000元的工作，取出自有存款200000元(月息1$\%$)，办一家独资企业，如果不考虑商业风险，则张先生自办企业按月计算的机会成本是____元。,2000,4000,6000,200000,,A
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：假设每一个风险单位的纯保费是200元，固定费用是15元，可变费用的比例是15$\%$，而预期利润附加率是5$\%$，则每一个风险单位的毛保费为____。
选项：
A：258.54
B：268.75
C：268.45
D：378.15
从ABCD中选出唯一正确的答案。",假设每一个风险单位的纯保费是200元，固定费用是15元，可变费用的比例是15$\%$，而预期利润附加率是5$\%$，则每一个风险单位的毛保费为____。,258.54,268.75,268.45,378.15,,B
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：一家寿险公司决定委托一个证券公司代理发行5000万股普通股票。这些股票的面值为1元，发行价格定在了5元。此外，双方又商定了按照发行价值的2%来定算手续费，并且需要从发行收入中进行扣除。于是，在寿险公司收到股票发行款并编制会计分录时，“资本公积--股本溢价”这一科目的总额应是多少万元呢？
选项：
A：19500
B：25000
C：20000
D：19600
从ABCD中选出唯一正确的答案。",一家寿险公司决定委托一个证券公司代理发行5000万股普通股票。这些股票的面值为1元，发行价格定在了5元。此外，双方又商定了按照发行价值的2%来定算手续费，并且需要从发行收入中进行扣除。于是，在寿险公司收到股票发行款并编制会计分录时，“资本公积--股本溢价”这一科目的总额应是多少万元呢？,19500,25000,20000,19600,,A
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：在2009年，一家生命保险公司的税前利润达到了2000万元。这包括他们从国务院财政部门发行的国债中获得的50万元利息收入以及从A公司和B公司分别获得的30万元红利。需要注意的是，A公司和B公司都是我国的居民企业。当时，保险公司在2008年12月购买了A公司和B公司的股票，但在2009年7月又出售了A公司的股票。如果我们忽略其他因素，那么在2009年，这家保险公司应支付的所得税额应为多少万元呢？
选项：
A：1920
B：1890
C：2000
D：1950
从ABCD中选出唯一正确的答案。",在2009年，一家生命保险公司的税前利润达到了2000万元。这包括他们从国务院财政部门发行的国债中获得的50万元利息收入以及从A公司和B公司分别获得的30万元红利。需要注意的是，A公司和B公司都是我国的居民企业。当时，保险公司在2008年12月购买了A公司和B公司的股票，但在2009年7月又出售了A公司的股票。如果我们忽略其他因素，那么在2009年，这家保险公司应支付的所得税额应为多少万元呢？,1920,1890,2000,1950,,A
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：如果你将1万元投入一个年名义利率为12%，且按照每年计息12次的投资中，那么需要的时间单位为年，你需要多长时间将该投资积累到3万元？
选项：
A：10.3
B：10.1
C：9.8
D：9.2
从ABCD中选出唯一正确的答案。",如果你将1万元投入一个年名义利率为12%，且按照每年计息12次的投资中，那么需要的时间单位为年，你需要多长时间将该投资积累到3万元？,10.3,10.1,9.8,9.2,,D
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：假设你获得了一笔10000元的贷款，准备在20年内偿还。现每年底，你都会用1000元进行还款，并将这1000元直接存入银行，该银行的年利率是5%。那么，在这20年的时间里，你实际上面临的年利率i是多少呢？
选项：
A：6.162%
B：6.182%
C：6.142%
D：6.122%
从ABCD中选出唯一正确的答案。",假设你获得了一笔10000元的贷款，准备在20年内偿还。现每年底，你都会用1000元进行还款，并将这1000元直接存入银行，该银行的年利率是5%。那么，在这20年的时间里，你实际上面临的年利率i是多少呢？,6.162%,6.182%,6.142%,6.122%,,A
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：假设在2004年12月1日，甲从银行借款了10000元，商定的年实际利率为7%，并且他们约定在2011年12月1日还款。在这期间，甲每年需偿还利息，并在此同时他也会向一个特定的账户等额的存钱，这样，当贷款期满的时候，这个账户的累计金额正好等于他的贷款本金。假设这个账户的年实际利率为8%，那么当甲以这种方式偿还贷款时，他的实际收益率i应为下列哪个数值？
选项：
A：6.46%
B：4.24%
C：7.57%
D：5.35%
从ABCD中选出唯一正确的答案。",假设在2004年12月1日，甲从银行借款了10000元，商定的年实际利率为7%，并且他们约定在2011年12月1日还款。在这期间，甲每年需偿还利息，并在此同时他也会向一个特定的账户等额的存钱，这样，当贷款期满的时候，这个账户的累计金额正好等于他的贷款本金。假设这个账户的年实际利率为8%，那么当甲以这种方式偿还贷款时，他的实际收益率i应为下列哪个数值？,6.46%,4.24%,7.57%,5.35%,,A
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：假设甲得到一份10万元的保险金。如果他选择投资到一种10年期满后每年支付的年金中，他每年可以获得15380元。如果他将其投入20年期末支付的年金，他每年可以得到10720元。这两种年金的基础是同一个利率i。请问兹该利率i是多少呢？
选项：
A：8.488%
B：8.688%
C：8.088%
D：8.288%
从ABCD中选出唯一正确的答案。",假设甲得到一份10万元的保险金。如果他选择投资到一种10年期满后每年支付的年金中，他每年可以获得15380元。如果他将其投入20年期末支付的年金，他每年可以得到10720元。这两种年金的基础是同一个利率i。请问兹该利率i是多少呢？,8.488%,8.688%,8.088%,8.288%,,B
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：考察一位投资者年初在基金中投入1个单位的情况，首先观察他在两年内以年利率25%的方式获得了积累。接着，这个积累继续增长至第4年末。现在，假设投资者选择另一种方法，即基金的收益率为每年计息四次的年名义利率i，使得在第四年结束时，他的积累值与前述选择保持一致。那么，请问利率i应为多少？
选项：
A：29.12%
B：29.32%
C：29.72%
D：29.52%
从ABCD中选出唯一正确的答案。",考察一位投资者年初在基金中投入1个单位的情况，首先观察他在两年内以年利率25%的方式获得了积累。接着，这个积累继续增长至第4年末。现在，假设投资者选择另一种方法，即基金的收益率为每年计息四次的年名义利率i，使得在第四年结束时，他的积累值与前述选择保持一致。那么，请问利率i应为多少？,29.12%,29.32%,29.72%,29.52%,,D
"以下是关于金融数值计算的单项选择题，请直接给出正确答案的选项。
题目：假设你在年初向某投资基金投资了1000元，并且该基金的年收益率是10%。后来在3月末，你又投入了400元，然后在9月末，你又取回了600元。给出的条件是1-tit=(1-t)ii。你能计算出年末这个基金的值是多少元吗？
选项：
A：615元
B：815元
C：915元
D：715元
从ABCD中选出唯一正确的答案。",假设你在年初向某投资基金投资了1000元，并且该基金的年收益率是10%。后来在3月末，你又投入了400元，然后在9月末，你又取回了600元。给出的条件是1-tit=(1-t)ii。你能计算出年末这个基金的值是多少元吗？,615元,815元,915元,715元,,C
