完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【延长条件】；该属性的类型是【ENUM】；该属性的取值范围是【保障到期30天内开具处方、治疗尚未结束、符合保险条款相关约定、未知】；
选项：
A：治疗尚未结束
B：符合保险条款相关约定
C：保障到期30天内开具处方
D：未知
从ABCD中选出唯一正确的答案。",需要提取的属性是【延长条件】；该属性的类型是【ENUM】；该属性的取值范围是【保障到期30天内开具处方、治疗尚未结束、符合保险条款相关约定、未知】；,治疗尚未结束,符合保险条款相关约定,保障到期30天内开具处方,未知,,A
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【意外免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【是、不涉及、否、未知】；
选项：
A：未知
B：是
C：否
D：不涉及
从ABCD中选出唯一正确的答案。",需要提取的属性是【意外免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【是、不涉及、否、未知】；,未知,是,否,不涉及,,B
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；
选项：
A：是
B：否
C：未知
D：长期险无续保或不支持续保
从ABCD中选出唯一正确的答案。",需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；,是,否,未知,长期险无续保或不支持续保,,A
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；
选项：
A：是
B：未知
C：否
D：长期险无续保或不支持续保
从ABCD中选出唯一正确的答案。",需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；,是,未知,否,长期险无续保或不支持续保,,A
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；
选项：
A：否
B：是
C：长期险无续保或不支持续保
D：未知
从ABCD中选出唯一正确的答案。",需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；,否,是,长期险无续保或不支持续保,未知,,B
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；
选项：
A：是
B：长期险无续保或不支持续保
C：否
D：未知
从ABCD中选出唯一正确的答案。",需要提取的属性是【续保免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【否、长期险无续保或不支持续保、是、未知】；,是,长期险无续保或不支持续保,否,未知,,A
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【领取日】；该属性的类型是【ENUM】；该属性的取值范围是【保险条款约定领取日、满期后第一个资产评估日、保单周年日、指定年龄保单周年日、保单周月日、满期日、指定保单周年日、未知】；
选项：
A：满期日
B：满期后第一个资产评估日
C：指定年龄保单周年日
D：指定保单周年日
从ABCD中选出唯一正确的答案。",需要提取的属性是【领取日】；该属性的类型是【ENUM】；该属性的取值范围是【保险条款约定领取日、满期后第一个资产评估日、保单周年日、指定年龄保单周年日、保单周月日、满期日、指定保单周年日、未知】；,满期日,满期后第一个资产评估日,指定年龄保单周年日,指定保单周年日,,B
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【给付金额类型】；该属性的类型是【ENUM】；该属性的取值范围是【父责任保额、已交保费*给付比例、现金价值较大者、已交保费*给付比例、已交保费*给付比例、当年保费、现金价值较大者、基本保额*给付比例、已交保费较大者、已交保费*系数、现金价值较大者、已交保费*系数、基本保额较大者、已交保费、基本保额较大者、已交保费*给付比例、基本保额较大者、应领未领的年金和满期年金、其他、基本保额、现金价值较大者、分场景不同给付金额类型、应领未领年金、累计已交保费、已交保费、基本保额、现金价值较大者、基本保额、责任保额、已交保费*给付比例、基本保额、现金价值较大者、保单现金价值、重疾保额、已交保费剔除扣减金额、现金价值较大者、基本保额*给付比例、已交保费*系数、已交保费*系数、有效保额、现金价值较大者、应交总保费、基本保额*给付比例、现金价值较大者、已交保费*给付比例、有效保额较大者、险种保额、现金价值*系数、基本保额*给付比例、已交保费、现金价值较大者、已交保费、现金价值较大者、已交保费*给付比例、有效保额、现金价值较大者、已交保费*给付比例、现金价值*给付比例、基本保额较大者、已交保费*系数、有效保额较大者、基本保
选项：
A：其他
B：已交保费*给付比例
C：基本保额*给付比例
D：现金价值*给付比例
从ABCD中选出唯一正确的答案。",需要提取的属性是【给付金额类型】；该属性的类型是【ENUM】；该属性的取值范围是【父责任保额、已交保费*给付比例、现金价值较大者、已交保费*给付比例、已交保费*给付比例、当年保费、现金价值较大者、基本保额*给付比例、已交保费较大者、已交保费*系数、现金价值较大者、已交保费*系数、基本保额较大者、已交保费、基本保额较大者、已交保费*给付比例、基本保额较大者、应领未领的年金和满期年金、其他、基本保额、现金价值较大者、分场景不同给付金额类型、应领未领年金、累计已交保费、已交保费、基本保额、现金价值较大者、基本保额、责任保额、已交保费*给付比例、基本保额、现金价值较大者、保单现金价值、重疾保额、已交保费剔除扣减金额、现金价值较大者、基本保额*给付比例、已交保费*系数、已交保费*系数、有效保额、现金价值较大者、应交总保费、基本保额*给付比例、现金价值较大者、已交保费*给付比例、有效保额较大者、险种保额、现金价值*系数、基本保额*给付比例、已交保费、现金价值较大者、已交保费、现金价值较大者、已交保费*给付比例、有效保额、现金价值较大者、已交保费*给付比例、现金价值*给付比例、基本保额较大者、已交保费*系数、有效保额较大者、基本保,其他,已交保费*给付比例,基本保额*给付比例,现金价值*给付比例,,A
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【给付金额类型】；该属性的类型是【ENUM】；该属性的取值范围是【父责任保额、已交保费*给付比例、现金价值较大者、已交保费*给付比例、已交保费*给付比例、当年保费、现金价值较大者、基本保额*给付比例、已交保费较大者、已交保费*系数、现金价值较大者、已交保费*系数、基本保额较大者、已交保费、基本保额较大者、已交保费*给付比例、基本保额较大者、应领未领的年金和满期年金、其他、基本保额、现金价值较大者、分场景不同给付金额类型、应领未领年金、累计已交保费、已交保费、基本保额、现金价值较大者、基本保额、责任保额、已交保费*给付比例、基本保额、现金价值较大者、保单现金价值、重疾保额、已交保费剔除扣减金额、现金价值较大者、基本保额*给付比例、已交保费*系数、已交保费*系数、有效保额、现金价值较大者、应交总保费、基本保额*给付比例、现金价值较大者、已交保费*给付比例、有效保额较大者、险种保额、现金价值*系数、基本保额*给付比例、已交保费、现金价值较大者、已交保费、现金价值较大者、已交保费*给付比例、有效保额、现金价值较大者、已交保费*给付比例、现金价值*给付比例、基本保额较大者、已交保费*系数、有效保额较大者、基本保额*系数、年交保费、现金价值*给付比例、已交保费*系数、基本保额、现金价值较大者、已交保费*系数、当年保费、现金价值较大者、未知】；
选项：
A：现金价值较大者
B：已交保费*系数
C：基本保额
D：累计已交保费
从ABCD中选出唯一正确的答案。",需要提取的属性是【给付金额类型】；该属性的类型是【ENUM】；该属性的取值范围是【父责任保额、已交保费*给付比例、现金价值较大者、已交保费*给付比例、已交保费*给付比例、当年保费、现金价值较大者、基本保额*给付比例、已交保费较大者、已交保费*系数、现金价值较大者、已交保费*系数、基本保额较大者、已交保费、基本保额较大者、已交保费*给付比例、基本保额较大者、应领未领的年金和满期年金、其他、基本保额、现金价值较大者、分场景不同给付金额类型、应领未领年金、累计已交保费、已交保费、基本保额、现金价值较大者、基本保额、责任保额、已交保费*给付比例、基本保额、现金价值较大者、保单现金价值、重疾保额、已交保费剔除扣减金额、现金价值较大者、基本保额*给付比例、已交保费*系数、已交保费*系数、有效保额、现金价值较大者、应交总保费、基本保额*给付比例、现金价值较大者、已交保费*给付比例、有效保额较大者、险种保额、现金价值*系数、基本保额*给付比例、已交保费、现金价值较大者、已交保费、现金价值较大者、已交保费*给付比例、有效保额、现金价值较大者、已交保费*给付比例、现金价值*给付比例、基本保额较大者、已交保费*系数、有效保额较大者、基本保额*系数、年交保费、现金价值*给付比例、已交保费*系数、基本保额、现金价值较大者、已交保费*系数、当年保费、现金价值较大者、未知】；,现金价值较大者,已交保费*系数,基本保额,累计已交保费,,D
"以下是关于保险工具参数提取的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【意外免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【是、不涉及、否、未知】；
选项：
A：未知
B：不涉及
C：否
D：是
从ABCD中选出唯一正确的答案。",需要提取的属性是【意外免等待期】；该属性的类型是【ENUM】；该属性的取值范围是【是、不涉及、否、未知】；,未知,不涉及,否,是,,D
