完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【医院类型】；该属性的类型是【ENUM】；该属性的取值范围是【互联网医院、海外医院、昂贵医院、民营医院(不含昂贵医院)、其他指定医院、公立医院、未知】；
选项：
A：昂贵医院
B：海外医院
C：民营医院(不含昂贵医院)
D：公立医院
从ABCD中选出唯一正确的答案。",需要提取的属性是【医院类型】；该属性的类型是【ENUM】；该属性的取值范围是【互联网医院、海外医院、昂贵医院、民营医院(不含昂贵医院)、其他指定医院、公立医院、未知】；,昂贵医院,海外医院,民营医院(不含昂贵医院),公立医院,,D
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【医院部门】；该属性的定义是【保险公司认可的医院的部门】；该属性的类型是【ENUM】；该属性的取值范围是【特需部、普通部、特需部、国际部、VIP部等非普通部、未知】；
选项：
A：特需部
B：普通部
C：未知
D：VIP部等非普通部
从ABCD中选出唯一正确的答案。",需要提取的属性是【医院部门】；该属性的定义是【保险公司认可的医院的部门】；该属性的类型是【ENUM】；该属性的取值范围是【特需部、普通部、特需部、国际部、VIP部等非普通部、未知】；,特需部,普通部,未知,VIP部等非普通部,,B
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；
选项：
A：二级及以上
B：未知
C：不限等级
D：二级甲等及以上
从ABCD中选出唯一正确的答案。",需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；,二级及以上,未知,不限等级,二级甲等及以上,,A
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【医院类型】；该属性的类型是【ENUM】；该属性的取值范围是【互联网医院、海外医院、昂贵医院、民营医院(不含昂贵医院)、其他指定医院、公立医院、未知】；
选项：
A：公立医院
B：互联网医院
C：民营医院(不含昂贵医院)
D：海外医院
从ABCD中选出唯一正确的答案。",需要提取的属性是【医院类型】；该属性的类型是【ENUM】；该属性的取值范围是【互联网医院、海外医院、昂贵医院、民营医院(不含昂贵医院)、其他指定医院、公立医院、未知】；,公立医院,互联网医院,民营医院(不含昂贵医院),海外医院,,A
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；
选项：
A：二级及以上
B：不限等级
C：未知
D：二级甲等及以上
从ABCD中选出唯一正确的答案。",需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；,二级及以上,不限等级,未知,二级甲等及以上,,A
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；
选项：
A：未知
B：不限等级
C：二级及以上
D：二级甲等及以上
从ABCD中选出唯一正确的答案。",需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；,未知,不限等级,二级及以上,二级甲等及以上,,C
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；
选项：
A：二级甲等及以上
B：二级及以上
C：不限等级
D：未知
从ABCD中选出唯一正确的答案。",需要提取的属性是【公立医院等级】；该属性的类型是【ENUM】；该属性的取值范围是【二级及以上、不限等级、二级甲等及以上、未知】；,二级甲等及以上,二级及以上,不限等级,未知,,B
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：这号码人保财险
选项：
A：财产保险
B：意外住院医疗
C：人保财险
D：电动车险
从ABCD中选出唯一正确的答案。",这号码人保财险,财产保险,意外住院医疗,人保财险,电动车险,,C
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：CSSW丝路
选项：
A：CSSW丝路是指一个全球性的网络安全标准，它旨在提供一套规范化的安全措施，以保护国际金融交易的网络安全。
B：CSSW丝路是指计算机科学领域的西北大学丝绸之路研究中心，该研究中心专注于探索计算机科学与丝绸之路历史文化的交叉点。
C：中证申万一带一路主题投资指数从沪深市场中选取100只盈利能力较高、盈利成长较强、且盈利较为稳定的参与一带一路建设或与一带一路国家或地区进行进出口贸易的上市公司证券，以反映受益于一带一路主题的代表性上市公司证券在沪深市场的整体表现。
D：CSSW丝路是指中国的跨境支付平台，它通过设立虚拟账户和国际清算机制，实现了中亚、西亚和欧洲地区的金融交流。
从ABCD中选出唯一正确的答案。",CSSW丝路,CSSW丝路是指一个全球性的网络安全标准，它旨在提供一套规范化的安全措施，以保护国际金融交易的网络安全。,CSSW丝路是指计算机科学领域的西北大学丝绸之路研究中心，该研究中心专注于探索计算机科学与丝绸之路历史文化的交叉点。,中证申万一带一路主题投资指数从沪深市场中选取100只盈利能力较高、盈利成长较强、且盈利较为稳定的参与一带一路建设或与一带一路国家或地区进行进出口贸易的上市公司证券，以反映受益于一带一路主题的代表性上市公司证券在沪深市场的整体表现。,CSSW丝路是指中国的跨境支付平台，它通过设立虚拟账户和国际清算机制，实现了中亚、西亚和欧洲地区的金融交流。,,C
"以下是关于保险医院名称标化的单项选择题，请直接给出正确答案的选项。
题目：CSWD并购
选项：
A：CSWD并购是指中国软件业务公司与世界银行的合作项目，旨在推动中国软件行业的发展并提升全球金融领域的科技创新。
B：CSWD并购是指公司内部创办的一个专门部门，负责监管和处理公司收购、合并以及并购案件的处理，以维护公司的财务稳定。
C：CSWD并购是指中证万得并购重组指数，它选择并购或资产重组进程中前100名涉及交易资产总价值的证券作为指数样本，以展示并购重组事件对上市公司证券的影响。
D：CSWD并购是指通过计算机科学和网络技术来实施的一种金融并购方式，利用虚拟货币进行交易。
从ABCD中选出唯一正确的答案。",CSWD并购,CSWD并购是指中国软件业务公司与世界银行的合作项目，旨在推动中国软件行业的发展并提升全球金融领域的科技创新。,CSWD并购是指公司内部创办的一个专门部门，负责监管和处理公司收购、合并以及并购案件的处理，以维护公司的财务稳定。,CSWD并购是指中证万得并购重组指数，它选择并购或资产重组进程中前100名涉及交易资产总价值的证券作为指数样本，以展示并购重组事件对上市公司证券的影响。,CSWD并购是指通过计算机科学和网络技术来实施的一种金融并购方式，利用虚拟货币进行交易。,,C
