完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：假定(30)的人投保保额为1的终身寿险，且寿命服从μ=0.04的常值死力分布，利息力σ=0.05，记死亡即刻赔付现值变量为z，则Var（z）=（）。
选项：
A.0.0882
B.0.0945
C.0.0894
D.0.0769
E.0.125
从ABCDE中选出唯一正确的答案。",假定(30)的人投保保额为1的终身寿险，且寿命服从μ=0.04的常值死力分布，利息力σ=0.05，记死亡即刻赔付现值变量为z，则Var（z）=（）。,0.0882,0.0945,0.0894,0.0769,0.125,A
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：有两份保单，它们的风险特征不相同。对每份保单都观测三年：第一份保单的赔款依次为3，5，7；第二份保单的赔款依次为6，12，9。则这两份保单的Buhlmann信度估计值分别为（
选项：
A.203/24，25/48
B.203/24，133/24
C.25/48，133/24
D.35/48，203/24
E.133/24，203/24
从ABCDE中选出唯一正确的答案。",有两份保单，它们的风险特征不相同。对每份保单都观测三年：第一份保单的赔款依次为3，5，7；第二份保单的赔款依次为6，12，9。则这两份保单的Buhlmann信度估计值分别为（,203/24，25/48,203/24，133/24,25/48，133/24,35/48，203/24,133/24，203/24,E
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：对于(x)两年期的两全保险，保险金额为1000，已知：首年保费为668，次年保费为258，d=0.06。则其等价的均衡纯保费为（）。
选项：
A.450
B.470
C.479
D.461
E.485
从ABCDE中选出唯一正确的答案。",对于(x)两年期的两全保险，保险金额为1000，已知：首年保费为668，次年保费为258，d=0.06。则其等价的均衡纯保费为（）。,450,470,479,461,485,C
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：假如先验分布θ~U(0，1），则9的后验分布为（）。
选项：
A.Beta(3,5)
B.Beta(4,5)
C.Beta(4,7)
D.Beta(3,6)
E.Beta(4,6)
从ABCDE中选出唯一正确的答案。",假如先验分布θ~U(0，1），则9的后验分布为（）。,"Beta(3,5)","Beta(4,5)","Beta(4,7)","Beta(3,6)","Beta(4,6)",E
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：某保险人承保财产保险，与再保险人签定成数和溢额再保险合同，合同约定成数再保险的最高责任额为200万元，成数部分自留60%，分出40%。超过200万元以上的业务由溢额再保险合同处理，溢额再保险的最高责任额为4线，当保险金额分别为100万元，1000万元时，且发生损失分别为2万元，40万元时，溢额分保分摊赔款分别为（万元。
选项：
A.0,2
B.1,32
C.0,0
D.2，0
E.0，32
从ABCDE中选出唯一正确的答案。",某保险人承保财产保险，与再保险人签定成数和溢额再保险合同，合同约定成数再保险的最高责任额为200万元，成数部分自留60%，分出40%。超过200万元以上的业务由溢额再保险合同处理，溢额再保险的最高责任额为4线，当保险金额分别为100万元，1000万元时，且发生损失分别为2万元，40万元时，溢额分保分摊赔款分别为（万元。,"0,2","1,32","0,0",2，0,0，32,E
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：设某类保单的索赔次数服从泊松分布P（x），若最近观察的一系列索赔次数为7，8，9，10，则x的极大似然估计量为（）。
选项：
A.10.5
B.9.5
C.9
D.10
E.8.5
从ABCDE中选出唯一正确的答案。",设某类保单的索赔次数服从泊松分布P（x），若最近观察的一系列索赔次数为7，8，9，10，则x的极大似然估计量为（）。,10.5,9.5,9,10,8.5,E
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：下面关于再保险的说法错误的是（）。
选项：
A.按分保责任，再保险分为比例再保险和非比例再保险
B.按分保安排，再保险分为临时再保险、合约再保险和预约再保险
C.再保险是由直接保险派生出来的，是以直接保险业务为基础的却又相对独立的
D.再保险的风险是原被保险人的原始风险，与原被保险人之间有法定的契约关系
E.按实施方式，再保险分为法定再保险和商业再保险
从ABCDE中选出唯一正确的答案。",下面关于再保险的说法错误的是（）。,按分保责任，再保险分为比例再保险和非比例再保险,按分保安排，再保险分为临时再保险、合约再保险和预约再保险,再保险是由直接保险派生出来的，是以直接保险业务为基础的却又相对独立的,再保险的风险是原被保险人的原始风险，与原被保险人之间有法定的契约关系,按实施方式，再保险分为法定再保险和商业再保险,D
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：有100000人参加了汽车车辆险，每车每年发生车辆损失的概率为0.005，估计车辆损失在475辆到525辆之间的概率是（）。
选项：
A.0.7458
B.0.7569
C.0.7992
D.0.7236
E.0.7896
从ABCDE中选出唯一正确的答案。",有100000人参加了汽车车辆险，每车每年发生车辆损失的概率为0.005，估计车辆损失在475辆到525辆之间的概率是（）。,0.7458,0.7569,0.7992,0.7236,0.7896,A
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：年龄为(x)的100人，每人投保金额为10单位，购买连续型终身人寿保险，为保证以97.5%概率使得保费够用，假设μ=0.04，σ=0.06，正态分布97.5%的分位数为1.960，则开始时最低保费总额为（)。
选项：
A.479
B.469
C.459
D.489
E.449
从ABCDE中选出唯一正确的答案。",年龄为(x)的100人，每人投保金额为10单位，购买连续型终身人寿保险，为保证以97.5%概率使得保费够用，假设μ=0.04，σ=0.06，正态分布97.5%的分位数为1.960，则开始时最低保费总额为（)。,479,469,459,489,449,C
"以下是关于保险精算师的单项选择题，请直接给出正确答案的选项。
题目：已知某特定风险的赔款额服从参数为μ=7.0，σ=1.7的对数正态分布，那么从400元到40000元的赔案在全部赔案中占的比例为（）。
选项：
A.0.1234
B.0.7064
C.0.3214
D.0.7054
E.0.6154
从ABCDE中选出唯一正确的答案。",已知某特定风险的赔款额服从参数为μ=7.0，σ=1.7的对数正态分布，那么从400元到40000元的赔案在全部赔案中占的比例为（）。,0.1234,0.7064,0.3214,0.7054,0.6154,E
