完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险意图理解的单项选择题，请直接给出正确答案的选项。
题目：这个就是人生意外保险吧
选项：
A：教育金
B：一般医疗
C：寿金险
D：人生意外保险
从ABCD中选出唯一正确的答案。",这个就是人生意外保险吧,教育金,一般医疗,寿金险,人生意外保险,,D
"以下是关于保险意图理解的单项选择题，请直接给出正确答案的选项。
题目：需要买多久
选项：
A：查返保规则
B：医院核赔
C：查缴费期限
D：查分期扣款时间
从ABCD中选出唯一正确的答案。",需要买多久,查返保规则,医院核赔,查缴费期限,查分期扣款时间,,C
"以下是关于保险意图理解的单项选择题，请直接给出正确答案的选项。
题目：重疾险购买
选项：
A：账户安全险
B：少儿百万医疗
C：重疾险
D：孕产医疗险
从ABCD中选出唯一正确的答案。",重疾险购买,账户安全险,少儿百万医疗,重疾险,孕产医疗险,,C
"以下是关于保险意图理解的单项选择题，请直接给出正确答案的选项。
题目：重疾险
选项：
A：一般医疗保险金
B：重疾险
C：员工险
D：女性孕期保险
从ABCD中选出唯一正确的答案。",重疾险,一般医疗保险金,重疾险,员工险,女性孕期保险,,B
"以下是关于保险意图理解的单项选择题，请直接给出正确答案的选项。
题目：这款产品里面有意外险吗
选项：
A：意外险
B：寿金险
C：癌症保险
D：学平险
从ABCD中选出唯一正确的答案。",这款产品里面有意外险吗,意外险,寿金险,癌症保险,学平险,,A
"以下是关于保险意图理解的单项选择题，请直接给出正确答案的选项。
题目：这个重疾险
选项：
A：旅行险
B：全车保驾乘意外险
C：重疾险
D：门诊医疗险
从ABCD中选出唯一正确的答案。",这个重疾险,旅行险,全车保驾乘意外险,重疾险,门诊医疗险,,C
"以下是关于保险意图理解的单项选择题，请直接给出正确答案的选项。
题目：这个保险包含意外险吗
选项：
A：失火保险
B：雇主险
C：意外险
D：短期意外险
从ABCD中选出唯一正确的答案。",这个保险包含意外险吗,失火保险,雇主险,意外险,短期意外险,,C
"你是一名专业的保险顾问，你可以对用户提问的意图进行理解
用户的提问是：选的20年就是要持续缴纳30年吗
以下哪个选项可以最恰当的描述用户的提问意图？
A.投保|查产品基础信息|查保障时间
B.投保/核保评估/服药评估
C.操作类|扣费|未扣或扣费失败操作步骤
D.投保|缴费相关查询|查缴费期限
你的输出只能是A、B、C、D四个字母中的一个",选的20年就是要持续缴纳30年吗,投保|查产品基础信息|查保障时间,投保/核保评估/服药评估,操作类|扣费|未扣或扣费失败操作步骤,投保|缴费相关查询|查缴费期限,,D
"你是一名专业的保险顾问，你可以对用户提问的意图进行理解
用户的提问是：报销门槛
以下哪个选项可以最恰当的描述用户的提问意图？
A.投保|查产品基础信息|查免赔额抵扣规则
B.退保|查退保规则|查退保扣费规则
C.操作类|查看信息|查退保进度步骤
D.操作类|增值服务操作|预约体检步骤
你的输出只能是A、B、C、D四个字母中的一个",报销门槛,投保|查产品基础信息|查免赔额抵扣规则,退保|查退保规则|查退保扣费规则,操作类|查看信息|查退保进度步骤,操作类|增值服务操作|预约体检步骤,,A
"你是一名专业的保险顾问，你可以对用户提问的意图进行理解
用户的提问是：暂存档无法投保是什么意思？
以下哪个选项可以最恰当的描述用户的提问意图？
A.退保|查退保规则|查退保重买规则
B.投保|投保异常|查投保失败原因|查泛投保失败原因
C.投保|投保异常|查投保失败原因|证件错误
D.投保|查产品基础信息|查保障范围|查保障轻症范围
你的输出只能是A、B、C、D四个字母中的一个",暂存档无法投保是什么意思？,退保|查退保规则|查退保重买规则,投保|投保异常|查投保失败原因|查泛投保失败原因,投保|投保异常|查投保失败原因|证件错误,投保|查产品基础信息|查保障范围|查保障轻症范围,,B
