完整问题,题干,A,B,C,D,E,正确答案
"以下是关于保险文案合规的多项选择题，请直接给出正确答案的选项。
题目：保险业务员承诺返还客户10%的保费是（）。
选项：
A：A.合法行为
B：B.违规行为
C：C.无所谓
D：D.违反合规底线的行为
请注意，正确选项一定不止一个，最终结果只输出选项，选项之间用英文逗号分割。",保险业务员承诺返还客户10%的保费是（）。,A.合法行为,B.违规行为,C.无所谓,D.违反合规底线的行为,,"B,D"
"以下是关于保险文案合规的多项选择题，请直接给出正确答案的选项。
题目：保险执业人员不可以进行的行为有（）。
选项：
A：A.发布保险知识信息
B：B.发布保险行业发展状况信息
C：C.发布保险产品打折信息
D：D.发布保证固定收益信息
请注意，正确选项一定不止一个，最终结果只输出选项，选项之间用英文逗号分割。",保险执业人员不可以进行的行为有（）。,A.发布保险知识信息,B.发布保险行业发展状况信息,C.发布保险产品打折信息,D.发布保证固定收益信息,,"C,D"
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：合规问题可能引起后续理赔纠纷。
你的输出只能是""对""或者""错""。",合规问题可能引起后续理赔纠纷。,对,错,,,,对
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：保险业务员承诺返还客户10%的保费是违法行为。
你的输出只能是""对""或者""错""。",保险业务员承诺返还客户10%的保费是违法行为。,对,错,,,,对
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：保险业务员承诺返还客户10%的保费属于合规行为。
你的输出只能是""对""或者""错""。",保险业务员承诺返还客户10%的保费属于合规行为。,对,错,,,,错
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：自媒体风险是最容易忽视，也是最容易出问题的地方。
你的输出只能是""对""或者""错""。",自媒体风险是最容易忽视，也是最容易出问题的地方。,对,错,,,,对
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：自媒体风险不需要关注。
你的输出只能是""对""或者""错""。",自媒体风险不需要关注。,对,错,,,,错
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：自媒体通常包括微信群、朋友圈、抖音、公众号。
你的输出只能是""对""或者""错""。",自媒体通常包括微信群、朋友圈、抖音、公众号。,对,错,,,,对
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：保险执业人员可以发布保险打折信息。
你的输出只能是""对""或者""错""。",保险执业人员可以发布保险打折信息。,对,错,,,,错
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：保险执业人员可以发布保险可以带来保本的信息。
你的输出只能是""对""或者""错""。",保险执业人员可以发布保险可以带来保本的信息。,对,错,,,,错
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：保险执业人员可以发布固定收益的信息。
你的输出只能是""对""或者""错""。",保险执业人员可以发布固定收益的信息。,对,错,,,,错
"你是一名保险文案合规领域的专家，你可以判断给定的内容是对还是错。
内容是：保险执业人员可以发布诋毁同业的信息。
你的输出只能是""对""或者""错""。",保险执业人员可以发布诋毁同业的信息。,对,错,,,,错
"以下是关于保险文案合规的单项选择题，请直接给出正确答案的选项。
题目：一个健康保险公司用“健康体检金”这一名义，提供了一些不在产品备案内容内的额外利益给客户，可能导致哪些不良后果？()

1)从公司的视角来看，这个业务的内含价值较低，同时也扩充了保险的责任；
2)它可能导致严重的利差损，大规模销售这类产品可能引发公司的财务亏损；
3)《方法》中面明确规定了，医疗保险和疾病保险产品不应包括生存给付责任；
4)这种做法可以破坏正常的市场竞争秩序。

选择以下方案
选项：
A：1, 2, 3
B：1, 2, 3, 4
C：1, 2
D：2, 3, 4
从ABCD中选出唯一正确的答案。","一个健康保险公司用“健康体检金”这一名义，提供了一些不在产品备案内容内的额外利益给客户，可能导致哪些不良后果？()

1)从公司的视角来看，这个业务的内含价值较低，同时也扩充了保险的责任；
2)它可能导致严重的利差损，大规模销售这类产品可能引发公司的财务亏损；
3)《方法》中面明确规定了，医疗保险和疾病保险产品不应包括生存给付责任；
4)这种做法可以破坏正常的市场竞争秩序。

选择以下方案","1, 2, 3","1, 2, 3, 4","1, 2","2, 3, 4",,B
"以下是关于保险文案合规的单项选择题，请直接给出正确答案的选项。
题目：依据《保险公司管理规定》条文第四十六条，哪项业务不被识别为人身保险公司的合规经营活动？
选项：
A：团体终身保险
B：团体两全保险
C：团体年金保险
D：团体定期寿险
从ABCD中选出唯一正确的答案。",依据《保险公司管理规定》条文第四十六条，哪项业务不被识别为人身保险公司的合规经营活动？,团体终身保险,团体两全保险,团体年金保险,团体定期寿险,,B
